sled-push	Trineo (empuje)
swimming	Natación
rowing-machine	Remoergómetro
cycling	Ciclismo
running	Carrera
elliptical	Elíptica
stair-climber	Subida de escaleras (máquina)
jumping-jack	Saltos de tijera
high-knees	Rodillas altas
jump-rope	Saltar a la comba
handstand-push-up	Flexión en pino
l-sit	L-sit
muscle-up	Muscle-up
toes-to-bar	Pies a la barra
diamond-push-up	Flexiones en diamante
clap-push-up	Flexiones con palmada
archer-push-up	Flexión arquero
wall-sit	Cuadrado en pared
shrimp-squat	Sentadilla gamba
nordic-hamstring-curl	Curl nórdico de isquios
tuck-front-lever	Front lever en tuck
front-lever	Front lever
back-lever	Back lever
skin-the-cat	Skin the cat
human-flag	Bandera humana
inverted-row	Remo invertido
walking-lunge	Zancada caminando
side-plank-knees-bent	Plancha lateral con rodillas flexionadas
chest-supported-row	Remo con apoyo de pecho
back-extension	Hiperextensión de espalda (columna neutra)
bird-dog	Bird dog
standing-pallof-hold	Pallof press isométrico de pie
assisted-pull-up	Dominada asistida
machine-chest-press	Press de pecho en máquina
half-kneeling-single-arm-db-press	Press con una mancuerna arrodillado
prone-y-t-raises	Elevaciones en Y-T prono
dumbbell-overhead-press	Press vertical con mancuernas
seated-overhead-press	Press militar sentado
dumbbell-deadlift	Peso muerto con mancuernas
dumbbell-front-squat	Sentadilla frontal con mancuernas
kettlebell-front-squat-single	Sentadilla frontal con una kettlebell
kettlebell-front-squat-double	Sentadilla frontal con dos kettlebells
dumbbell-shrug	Encogimientos con mancuernas
incline-push-up	Flexiones inclinadas
donkey-kick	Patada de burro
